id,title,agency,program,phase,amount,deadline,keywords,description,url
N252-T001,Autonomous Navigation for Unmanned Surface Vehicles,Navy,SBIR,Phase I,250000,2026-08-15,autonomous|navigation|USV|edge AI|drones|maritime|SLAM,Develop ML-based autonomous navigation systems for unmanned surface vehicles operating in GPS-denied and contested maritime environments. Solutions must perform real-time obstacle avoidance and mission planning.,https://www.navysbir.com
N252-T002,Edge AI for Contested Communications,Navy,SBIR,Phase I,250000,2026-08-15,edge AI|communications|MANET|5G|mesh network|cyber|resilience,Develop edge AI solutions for maintaining reliable communications in contested and degraded environments including frequency-hopping and adaptive waveform selection.,https://www.navysbir.com
AF252-T001,Hypersonic Vehicle Thermal Protection,Air Force,SBIR,Phase I,275000,2026-09-01,hypersonic|thermal|materials|aerospace|UHTC|ablative|propulsion,Novel thermal protection system materials and designs for hypersonic vehicles operating at speeds exceeding Mach 5. Focus on ultra-high temperature ceramics and ablative composites.,https://afwerx.af.mil/sbir
AF252-T002,AI-Enabled ISR Data Fusion,Air Force,SBIR,Phase I,250000,2026-09-01,AI|ISR|data fusion|sensor|multi-modal|computer vision|satellite,Develop AI/ML algorithms for real-time fusion of multi-source intelligence data including SAR, EO/IR, and SIGINT for automated target recognition.,https://afwerx.af.mil/sbir
DARPA-T001,Neuromorphic Computing for Autonomous Systems,DARPA,SBIR,Phase I,300000,2026-07-30,neuromorphic|computing|autonomous|brain-inspired|low power|inference|spiking,Develop neuromorphic computing architectures that enable autonomous systems to perform complex decision-making at the edge with dramatically reduced SWaP-C.,https://www.darpa.mil/work-with-us/sbir-sttr
DARPA-T002,Quantum Sensing for Navigation,DARPA,SBIR,Phase I,300000,2026-07-30,quantum|sensing|navigation|GPS-denied|inertial|atomic clock|positioning,Novel quantum sensor approaches for precision navigation in GPS-denied environments using atom interferometry or quantum-enhanced inertial measurement.,https://www.darpa.mil/work-with-us/sbir-sttr
A252-T001,Counter-UAS Detection and Defeat,Army,SBIR,Phase I,250000,2026-08-30,counter-UAS|drone|detection|defeat|RF|radar|electronic warfare|C-sUAS,Develop low-cost scalable systems for detecting classifying and defeating small unmanned aerial systems in complex electromagnetic environments.,https://www.arl.army.mil/sbir
A252-T002,Soldier-Worn Exoskeleton Power Systems,Army,SBIR,Phase I,250000,2026-08-30,exoskeleton|power|energy harvesting|battery|soldier|wearable|logistics,Advanced power and energy storage solutions for soldier-worn exoskeleton systems to extend operational duration and reduce logistics burden.,https://www.arl.army.mil/sbir
MDA-T001,Directed Energy Beam Control,MDA,SBIR,Phase I,300000,2026-10-01,directed energy|laser|beam control|adaptive optics|missile defense|atmospheric,Develop advanced beam control and adaptive optics technologies to improve directed energy weapon effectiveness for missile defense applications.,https://www.mda.mil/business/sbir.html
MDA-T002,Multi-Domain Kill Chain Acceleration,MDA,SBIR,Phase I,275000,2026-10-01,kill chain|AI|multi-domain|C2|automation|missile defense|decision support,AI-enabled tools to accelerate kill chain timelines across multi-domain operations for ballistic and cruise missile defense scenarios.,https://www.mda.mil/business/sbir.html
NIH-T001,AI Diagnostics for Rare Disease,NIH,STTR,Phase I,300000,2026-09-15,AI|diagnostics|rare disease|machine learning|genomics|biomarker|clinical,Develop AI/ML approaches for earlier and more accurate diagnosis of rare diseases using multi-modal patient data including genomics imaging and clinical records.,https://grants.nih.gov/grants/guide/pa-files/PA-24-071.html
NIH-T002,Wearable Biosensors for Continuous Health Monitoring,NIH,STTR,Phase I,300000,2026-09-15,wearable|biosensor|continuous monitoring|health|physiological|IoT|digital health,Novel wearable biosensor platforms for continuous real-time monitoring of physiological biomarkers enabling early disease detection and personalized medicine.,https://grants.nih.gov/grants/guide/pa-files/PA-24-072.html
NIH-T003,CRISPR Therapeutics for Genetic Disorders,NIH,STTR,Phase I,350000,2026-09-15,CRISPR|gene editing|therapeutics|genetic|delivery|AAV|biotech,Develop next-generation CRISPR-based therapeutic approaches for single-gene disorders with improved specificity delivery efficiency and reduced off-target effects.,https://grants.nih.gov/grants/guide/pa-files/PA-24-073.html
SOCOM-T001,Small UAS for Special Operations,SOCOM,SBIR,Phase I,250000,2026-08-01,UAS|small drone|special operations|VTOL|silent|multi-mission|ISR,Low-signature multi-mission small UAS optimized for special operations environments requiring silent operation extended endurance and rapid deployment.,https://www.socom.mil/SBIR
SOCOM-T002,Advanced Soldier Biometrics,SOCOM,SBIR,Phase I,250000,2026-08-01,biometrics|soldier|performance|cognitive|physiological|wearable|readiness,Biometric and cognitive performance monitoring systems for special operations forces to optimize training load mission readiness and recovery.,https://www.socom.mil/SBIR
DHS-T001,AI for Border Security,DHS,SBIR,Phase I,250000,2026-09-30,AI|border security|detection|surveillance|anomaly|sensor fusion|autonomy,AI-enabled autonomous surveillance and detection systems for border security applications including cross-domain sensor fusion and anomaly detection.,https://www.dhs.gov/science-and-technology/sbir
DHS-T002,Cybersecurity for Critical Infrastructure,DHS,SBIR,Phase I,250000,2026-09-30,cybersecurity|critical infrastructure|OT|ICS|SCADA|anomaly detection|zero trust,Novel cybersecurity approaches for protecting operational technology and industrial control systems in critical infrastructure against nation-state threats.,https://www.dhs.gov/science-and-technology/sbir
AFRL-T001,Advanced Propulsion for Small Satellites,AFRL,SBIR,Phase I,275000,2026-08-15,propulsion|small satellite|cubesat|electric|ion thruster|orbit raising|LEO,Miniaturized high-efficiency propulsion systems for small satellites and CubeSats enabling orbit raising station keeping and deorbit capabilities.,https://afwerx.af.mil/sbir
ONR-T001,Underwater Autonomous Systems,ONR,SBIR,Phase I,250000,2026-08-30,underwater|autonomous|AUV|acoustic|navigation|mine countermeasures|sonar,Long-endurance autonomous underwater vehicles with advanced acoustic sensing navigation and payload capabilities for mine countermeasures and ISR missions.,https://www.onr.navy.mil/work-with-us/sbir-sttr
BARDA-T001,Rapid Diagnostics for Biodefense,BARDA,SBIR,Phase I,300000,2026-10-15,biodefense|rapid diagnostics|point-of-care|biological threat|detection|biosurveillance,Point-of-care rapid diagnostic platforms for simultaneous detection of multiple biological threat agents in field-deployable formats for emergency response.,https://medicalcountermeasures.gov/barda/cbrn/
